CELL_ID,C1QC,CD107a,CD11b,CD141,CD183,CD196,CD227,CD25,CD31,CD45,CD68,CollagenIV,EpCAM,Nestin,Perlecan,RORgammaT,SPP1,TFAM,VWF,aSMA,bCatenin1
1600,108.93699645996094,424.47900390625,40.70199966430664,20.823999404907227,1067.071044921875,45.71799850463867,900.5250244140625,27.5,33.10900115966797,108.58799743652344,47.35300064086914,120.80699920654297,36.56700134277344,47.06700134277344,53.361000061035156,1579.7099609375,267.2980041503906,337.2690124511719,92.33200073242188,127.37000274658203,169.66400146484375
1601,131.5760040283203,309.45599365234375,45.95600128173828,25.490999221801758,1124.7060546875,59.32500076293945,727.552978515625,29.209999084472656,29.054000854492188,183.3000030517578,52.887001037597656,141.281005859375,25.736000061035156,26.423999786376953,52.81700134277344,1561.10302734375,231.3159942626953,478.072998046875,92.55699920654297,118.84200286865234,296.5559997558594
1602,78.95099639892578,104.39600372314453,41.0359992980957,23.743999481201172,657.2990112304688,32.356998443603516,24.29599952697754,28.639999389648438,23.760000228881836,92.41300201416016,51.54499816894531,255.19400024414062,17.020999908447266,81.72699737548828,50.65599822998047,1617.6309814453125,135.697998046875,86.31300354003906,78.79399871826172,95.5719985961914,99.53900146484375
1603,67.33100128173828,110.33799743652344,39.4109992980957,31.87700080871582,563.9030151367188,50.571998596191406,24.902999877929688,25.621999740600586,34.38100051879883,61.40700149536133,46.31399917602539,261.4849853515625,23.344999313354492,62.499000549316406,68.09200286865234,1260.6739501953125,125.5719985961914,91.1510009765625,44.948001861572266,322.8789978027344,76.37100219726562
1604,205.7169952392578,202.35400390625,47.555999755859375,22.39699935913086,2210.81298828125,48.65999984741211,42.26300048828125,35.935001373291016,26.2810001373291,136.81100463867188,68.04299926757812,128.8209991455078,21.753999710083008,196.98800659179688,58.84700012207031,2504.69189453125,233.8820037841797,315.010009765625,91.95099639892578,292.9630126953125,241.20199584960938
1605,75.2249984741211,311.59600830078125,44.35100173950195,19.503999710083008,913.1389770507812,37.255001068115234,954.0479736328125,36.099998474121094,21.93000030517578,119.36699676513672,53.70899963378906,95.9219970703125,24.61400032043457,63.00199890136719,53.834999084472656,1646.675048828125,178.19500732421875,190.2790069580078,61.79100036621094,125.53199768066406,264.3210144042969
1606,181.68800354003906,242.72000122070312,44.426998138427734,24.059999465942383,1187.7669677734375,35.99399948120117,665.7169799804688,36.316001892089844,27.143999099731445,159.56500244140625,47.68199920654297,101.94000244140625,23.344999313354492,44.55500030517578,48.75699996948242,1520.3509521484375,268.0679931640625,446.4429931640625,67.60900115966797,63.202999114990234,148.8459930419922
1607,84.86900329589844,159.08399963378906,42.0989990234375,25.503000259399414,470.4549865722656,59.08599853515625,26.174999237060547,22.4060001373291,57.13399887084961,70.11799621582031,53.59199905395508,379.46099853515625,18.398000717163086,67.12000274658203,66.06800079345703,654.6409912109375,149.52099609375,132.32200622558594,38.92900085449219,278.1340026855469,173.3459930419922
1608,107.64199829101562,370.0039978027344,41.55500030517578,21.805999755859375,1228.9110107421875,38.57099914550781,236.46800231933594,38.86000061035156,27.534000396728516,134.64599609375,57.12099838256836,161.0489959716797,26.18199920654297,86.68000030517578,61.69599914550781,1693.1090087890625,220.1820068359375,263.843994140625,70.22100067138672,155.1699981689453,314.8680114746094
1609,364.4070129394531,183.0290069580078,43.34199905395508,19.511999130249023,1993.998046875,53.05400085449219,45.409000396728516,35.66999816894531,25.23699951171875,159.64700317382812,64.22799682617188,131.09300231933594,20.687000274658203,202.13299560546875,62.3650016784668,2687.77001953125,267.4360046386719,281.4750061035156,106.97699737548828,157.14300537109375,255.1699981689453
